"GEO_ID","NAME","AREALAND","AREAWATR","AREALAND_SQMI","AREAWATR_SQMI","INTPTLAT","INTPTLON",
"Geographic Identifier","Geographic Area Name","Area (Land, in square meters)","Area (Water, in square meters)","Area (Land, in square miles)","Area (Water, in square miles)","Internal Point (Latitude)","Internal Point (Longitude)",
"0400000US01","Alabama","131175460655","4591915034","50647.131","1772.948","32.73963230","-86.84345930",
"0400000US02","Alaska","1478941109938","245380162784","571022.379","94741.815","63.34735600","-152.83973340",
"0400000US04","Arizona","294360991275","858853288","113653.419","331.605","34.20393620","-111.60634490",
"0400000US05","Arkansas","134660850501","3121867339","51992.847","1205.360","34.89552560","-92.44462620",
"0400000US06","California","403671196038","20294133830","155858.327","7835.609","37.15517730","-119.54341830",
"0400000US08","Colorado","268418746964","1185766400","103637.062","457.827","38.99376690","-105.50871220",
"0400000US09","Connecticut","12541688516","1816426151","4842.373","701.326","41.57986370","-72.74665720",
"0400000US10","Delaware","5046731558","1399179670","1948.554","540.226","38.99856610","-75.44164400",
"0400000US11","District of Columbia","158316124","18709762","61.126","7.224","38.90424740","-77.01651670",
"0400000US12","Florida","138958484319","45975808217","53652.173","17751.360","28.39897750","-82.51430050",
"0400000US13","Georgia","149486234922","4418749570","57716.960","1706.089","32.62957890","-83.42351090",
"0400000US15","Hawaii","16634147166","11777652106","6422.480","4547.377","19.82816710","-155.49504210",
"0400000US16","Idaho","214049923496","2391577745","82645.141","923.393","44.34842220","-114.55885380",
"0400000US17","Illinois","143778461053","6216594318","55513.177","2400.241","40.10287540","-89.15261080",
"0400000US18","Indiana","92788998225","1541613641","35826.034","595.220","39.90131360","-86.29191290",
"0400000US19","Iowa","144659688848","1085996889","55853.420","419.306","42.07002430","-93.49334730",
"0400000US20","Kansas","211753777874","1345707497","81758.594","519.581","38.49854640","-98.38342980",
"0400000US21","Kentucky","102282796080","2368025703","39491.610","914.300","37.53368440","-85.29298010",
"0400000US22","Louisiana","111913975425","23737664982","43210.229","9165.164","30.86343680","-91.79871730",
"0400000US23","Maine","79888428972","11744937116","30845.096","4534.746","45.40928430","-68.66661600",
"0400000US24","Maryland","25151895765","6979171386","9711.202","2694.673","38.94665840","-76.67449390",
"0400000US25","Massachusetts","20204396898","7130653806","7800.962","2753.161","42.15651960","-71.48959150",
"0400000US26","Michigan","146614604273","103872203398","56608.218","40105.284","44.84417680","-85.66049070",
"0400000US27","Minnesota","206232157570","18949864226","79626.685","7316.584","46.31595730","-94.19960430",
"0400000US28","Mississippi","121532487805","3915791676","46923.958","1511.896","32.68647140","-89.65613770",
"0400000US29","Missouri","178052563675","2487215790","68746.482","960.319","38.35075000","-92.45678260",
"0400000US30","Montana","376973673895","3866689601","145550.355","1492.937","47.05117700","-109.63481740",
"0400000US31","Nebraska","198957373531","1371117957","76817.875","529.392","41.54330530","-99.81186460",
"0400000US32","Nevada","284537264244","1839662252","109860.457","710.298","39.33109280","-116.61514690",
"0400000US33","New Hampshire","23190113978","1025973001","8953.753","396.130","43.67269070","-71.58431450",
"0400000US34","New Jersey","19048737655","3533261945","7354.759","1364.200","40.10727440","-74.66520120",
"0400000US35","New Mexico","314198560935","726482115","121312.748","280.496","34.43468430","-106.13161810",
"0400000US36","New York","122049520861","19256750161","47123.585","7435.073","42.91339740","-75.59627230",
"0400000US37","North Carolina","125933025759","13456395178","48623.015","5195.543","35.53971000","-79.13086360",
"0400000US38","North Dakota","178698456949","4410633765","68995.863","1702.955","47.44217400","-100.46082580",
"0400000US39","Ohio","105823700104","10274656132","40858.761","3967.067","40.41492970","-82.71199750",
"0400000US40","Oklahoma","177664190465","3373689316","68596.530","1302.589","35.59008150","-97.48677890",
"0400000US41","Oregon","248628426864","6170953359","95995.976","2382.619","43.97171250","-120.62295780",
"0400000US42","Pennsylvania","115881934065","3397760687","44742.267","1311.883","40.90460130","-77.82752980",
"0400000US44","Rhode Island","2677759219","1323691129","1033.889","511.080","41.59648500","-71.52649010",
"0400000US45","South Carolina","77866132568","5074311415","30064.283","1959.203","33.87417760","-80.85426390",
"0400000US46","South Dakota","196345992286","3383664203","75809.615","1306.440","44.44679570","-100.23817620",
"0400000US47","Tennessee","106791646253","2322913374","41232.487","896.882","35.85846000","-86.34963390",
"0400000US48","Texas","676680588914","18979352230","261267.847","7327.969","31.43470320","-99.28182380",
"0400000US49","Utah","213355058738","6529987297","82376.852","2521.242","39.33499250","-111.65633260",
"0400000US50","Vermont","23873081385","1030243281","9217.449","397.779","44.05895360","-72.67101730",
"0400000US51","Virginia","102258180558","8528070310","39482.106","3292.706","37.52225120","-78.66819380",
"0400000US53","Washington","172117960159","12549742084","66455.119","4845.483","47.40732380","-120.57579990",
"0400000US54","West Virginia","62266296765","489206049","24041.153","188.884","38.64728540","-80.61832740",
"0400000US55","Wisconsin","140292246684","29343721650","54167.142","11329.675","44.63090710","-89.70939160",
"0400000US56","Wyoming","251458712277","1867503715","97088.756","721.047","42.98965910","-107.54439220",
"0400000US60","American Samoa","197759069","1307243751","76.355","504.730","-14.26715900","-170.66826740",
"0400000US66","Guam","543555847","934337453","209.868","360.750","13.44174510","144.77190210",
"0400000US69","Commonwealth of the Northern Mariana Islands","472292528","4644252458","182.353","1793.156","15.00108650","145.61817020",
"0400000US72","Puerto Rico","8868948653","4922329963","3424.320","1900.522","18.21764800","-66.41079920",
"0400000US78","United States Virgin Islands","348021914","1550236187","134.372","598.550","18.33923590","-64.95004330",
